strategy,name,no_property_sample,eigval_prod,pstable,avg_min_dist,ratio,maxdim,rrate,name,props,log_paths,time metric,acquisition,time metric value
bald,ShapeNet::Canister_714320da4aafcb4a47be2353d2b2403b,4,2.8005664864912037e-05,0.0,0.004857664454787619,2.2356580461387634,0.2,0.8662878787878788,ShapeNet::Canister_714320da4aafcb4a47be2353d2b2403b,0.001_-0.000_-0.028_0.100_0.125,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object44-20230327-123127,average precision,24,-0.0
bald,ShapeNet::CeilingLamp_b375f5b9102a97fecd187756f8df9a56,0,7.596672566727864e-05,0.0,0.013134419073441858,2.81933546293868,0.2,0.8770491803278688,ShapeNet::CeilingLamp_b375f5b9102a97fecd187756f8df9a56,0.000_-0.000_-0.015_0.161_0.198,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object340-20230327-183057,average precision,24,-0.0
bald,ShapeNet::CeilingLamp_b375f5b9102a97fecd187756f8df9a56,1,7.596672566727864e-05,0.0,0.013134419073441858,2.81933546293868,0.2,0.8770491803278688,ShapeNet::CeilingLamp_b375f5b9102a97fecd187756f8df9a56,0.000_-0.000_-0.015_0.195_0.188,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object341-20230327-183151,average precision,24,-0.0
bald,ShapeNet::CeilingLamp_b375f5b9102a97fecd187756f8df9a56,2,7.596672566727864e-05,0.0,0.013134419073441858,2.81933546293868,0.2,0.8770491803278688,ShapeNet::CeilingLamp_b375f5b9102a97fecd187756f8df9a56,0.000_-0.000_-0.015_0.149_0.145,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object342-20230327-183247,average precision,24,-0.0
bald,ShapeNet::CeilingLamp_b375f5b9102a97fecd187756f8df9a56,3,7.596672566727864e-05,0.0,0.013134419073441858,2.81933546293868,0.2,0.8770491803278688,ShapeNet::CeilingLamp_b375f5b9102a97fecd187756f8df9a56,0.000_-0.000_-0.015_0.151_0.275,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object343-20230327-183343,average precision,24,-0.0
bald,ShapeNet::CeilingLamp_b375f5b9102a97fecd187756f8df9a56,4,7.596672566727864e-05,0.0,0.013134419073441858,2.81933546293868,0.2,0.8770491803278688,ShapeNet::CeilingLamp_b375f5b9102a97fecd187756f8df9a56,0.000_-0.000_-0.015_0.155_0.240,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object344-20230327-183439,average precision,24,-0.0
bald,ShapeNet::ChestOfDrawers_d5dfa7ba7d587fa7cc77a85ce16f6c28,0,4.974677367705823e-05,0.0,0.020587105127664884,5.154108395329701,0.2,0.6571428571428571,ShapeNet::ChestOfDrawers_d5dfa7ba7d587fa7cc77a85ce16f6c28,0.000_-0.000_0.011_0.144_0.156,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object80-20230327-131518,average precision,24,-0.0
bald,ShapeNet::ChestOfDrawers_d5dfa7ba7d587fa7cc77a85ce16f6c28,1,4.974677367705823e-05,0.0,0.020587105127664884,5.154108395329701,0.2,0.6571428571428571,ShapeNet::ChestOfDrawers_d5dfa7ba7d587fa7cc77a85ce16f6c28,0.000_-0.000_0.011_0.159_0.289,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object81-20230327-131606,average precision,24,-0.0
bald,ShapeNet::ChestOfDrawers_d5dfa7ba7d587fa7cc77a85ce16f6c28,2,4.974677367705823e-05,0.0,0.020587105127664884,5.154108395329701,0.2,0.6571428571428571,ShapeNet::ChestOfDrawers_d5dfa7ba7d587fa7cc77a85ce16f6c28,0.000_-0.000_0.011_0.138_0.263,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object82-20230327-131656,average precision,24,-0.0
bald,ShapeNet::ChestOfDrawers_d5dfa7ba7d587fa7cc77a85ce16f6c28,3,4.974677367705823e-05,0.0,0.020587105127664884,5.154108395329701,0.2,0.6571428571428571,ShapeNet::ChestOfDrawers_d5dfa7ba7d587fa7cc77a85ce16f6c28,0.000_-0.000_0.011_0.150_0.282,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object83-20230327-131743,average precision,24,-0.0
bald,ShapeNet::ChestOfDrawers_d5dfa7ba7d587fa7cc77a85ce16f6c28,4,4.974677367705823e-05,0.0,0.020587105127664884,5.154108395329701,0.2,0.6571428571428571,ShapeNet::ChestOfDrawers_d5dfa7ba7d587fa7cc77a85ce16f6c28,0.000_-0.000_0.011_0.173_0.258,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object84-20230327-131832,average precision,24,-0.0
